event_type,height,tx_hash,attributes
message,3630310,4A8B4D76D6F88EEA4A9366ED1C982D9B4A3531578958DAA6D5040332DB07F90F,"[{""key"": ""action"", ""value"": ""/cosmwasm.wasm.v1.MsgExecuteContract""}]"
message,3630310,4A8B4D76D6F88EEA4A9366ED1C982D9B4A3531578958DAA6D5040332DB07F90F,"[{""key"": ""module"", ""value"": ""wasm""}, {""key"": ""sender"", ""value"": ""stars1dzf8ta0qvvqvca55ynqnazgwflq76r5jase5nx""}]"
execute,3630310,4A8B4D76D6F88EEA4A9366ED1C982D9B4A3531578958DAA6D5040332DB07F90F,"[{""key"": ""_contract_address"", ""value"": ""stars1fvhcnyddukcqfnt7nlwv3thm5we22lyxyxylr9h77cvgkcn43xfsvgv0pl""}]"
wasm-set-ask,3630310,4A8B4D76D6F88EEA4A9366ED1C982D9B4A3531578958DAA6D5040332DB07F90F,"[{""key"": ""_contract_address"", ""value"": ""stars1fvhcnyddukcqfnt7nlwv3thm5we22lyxyxylr9h77cvgkcn43xfsvgv0pl""}, {""key"": ""collection"", ""value"": ""stars14sa4u42n2a8kmlvj3qcergjhy6g9ps06rzeth94f2y6grlat6u6sv9y4pd""}, {""key"": ""token_id"", ""value"": ""4022""}, {""key"": ""seller"", ""value"": ""stars1dzf8ta0qvvqvca55ynqnazgwflq76r5jase5nx""}, {""key"": ""price"", ""value"": ""150000000ustars""}, {""key"": ""expires"", ""value"": ""1659658030.453000000""}]"
tx,3630311,CFB51026F3667FE49C9FB8DBE51588F2E5342877BB4D2CB49B7A36A52818058E,"[{""key"": ""fee"", ""value"": ""0ustars""}]"
tx,3630311,CFB51026F3667FE49C9FB8DBE51588F2E5342877BB4D2CB49B7A36A52818058E,"[{""key"": ""acc_seq"", ""value"": ""stars1z4ecae6w247fxa2j6ganwzwuja7zgw03yfkhcp/6040""}]"
tx,3630311,CFB51026F3667FE49C9FB8DBE51588F2E5342877BB4D2CB49B7A36A52818058E,"[{""key"": ""signature"", ""value"": ""QBEBc7dpWoMkwqpdSgLEn+ZXOC4gkuYLvRQW96Ao79tr6Kq5Y5IhsknFYnVprE8MD1WPWZnE9AvCX/V9zVNz/A==""}]"
message,3630311,CFB51026F3667FE49C9FB8DBE51588F2E5342877BB4D2CB49B7A36A52818058E,"[{""key"": ""action"", ""value"": ""/cosmwasm.wasm.v1.MsgExecuteContract""}]"
message,3630311,CFB51026F3667FE49C9FB8DBE51588F2E5342877BB4D2CB49B7A36A52818058E,"[{""key"": ""module"", ""value"": ""wasm""}, {""key"": ""sender"", ""value"": ""stars1z4ecae6w247fxa2j6ganwzwuja7zgw03yfkhcp""}]"
execute,3630311,CFB51026F3667FE49C9FB8DBE51588F2E5342877BB4D2CB49B7A36A52818058E,"[{""key"": ""_contract_address"", ""value"": ""stars120zjnnpca5p42pc5f5fqaj923q8cu9ekr2duw25fd8f9p4gzrhcsy6g44z""}]"
wasm,3630311,CFB51026F3667FE49C9FB8DBE51588F2E5342877BB4D2CB49B7A36A52818058E,"[{""key"": ""_contract_address"", ""value"": ""stars120zjnnpca5p42pc5f5fqaj923q8cu9ekr2duw25fd8f9p4gzrhcsy6g44z""}, {""key"": ""action"", ""value"": ""burn""}, {""key"": ""sender"", ""value"": ""stars1z4ecae6w247fxa2j6ganwzwuja7zgw03yfkhcp""}, {""key"": ""token_id"", ""value"": ""4411""}]"
